year,game,week,home,team,score,abbrev,win
2018,53,11,FALSE,5,105.94,CART,TRUE
2018,53,11,TRUE,9,103.68,COLN,FALSE
2018,54,11,FALSE,2,57.1,ROWN,FALSE
2018,54,11,TRUE,4,164.72,BILL,TRUE
2018,55,12,FALSE,6,102.84,KIER,TRUE
2018,55,12,TRUE,11,94.32,KYLE,FALSE
2018,56,12,FALSE,10,90.26,NICK,FALSE
2018,56,12,TRUE,1,96.68,AGUS,TRUE
2018,57,12,FALSE,3,131.24,PEPE,TRUE
2018,57,12,TRUE,5,118.86,CART,FALSE
2018,58,12,FALSE,8,91.88,CHAR,TRUE
2018,58,12,TRUE,2,50.72,ROWN,FALSE
2018,59,12,FALSE,9,92.02,COLN,FALSE
2018,59,12,TRUE,4,119.9,BILL,TRUE
2018,60,13,FALSE,8,167.72,CHAR,FALSE
2018,60,13,TRUE,4,215.48,BILL,TRUE
2018,61,13,FALSE,10,176.57999999999998,NICK,TRUE
2018,61,13,TRUE,6,127.17999999999999,KIER,FALSE
2018,62,13,FALSE,3,272.3,PEPE,TRUE
2018,62,13,TRUE,2,134.66000000000003,ROWN,FALSE
2018,63,13,FALSE,11,191.98000000000002,KYLE,TRUE
2018,63,13,TRUE,1,186.12,AGUS,FALSE
2018,64,13,FALSE,9,147.06,COLN,FALSE
2018,64,13,TRUE,5,184.56,CART,TRUE
2018,65,14,FALSE,10,200.2,NICK,TRUE
2018,65,14,TRUE,4,175.14,BILL,FALSE
2018,66,14,FALSE,8,180.5,CHAR,FALSE
2018,66,14,TRUE,6,185.06,KIER,TRUE
2018,67,14,FALSE,5,90.02,CART,FALSE
2018,67,14,TRUE,3,93.26,PEPE,TRUE
2018,68,14,FALSE,1,247.62,AGUS,TRUE
2018,68,14,TRUE,11,192.36,KYLE,FALSE
2018,69,14,FALSE,2,114.19999999999999,ROWN,FALSE
2018,69,14,TRUE,9,243,COLN,TRUE
