date,team,score
2016-12-04,agus,95.98
2016-12-04,bill,56.76
2016-12-04,cart,103.56
2016-12-04,char,113.08
2016-12-04,coln,NA
2016-12-04,kier,109.36
2016-12-04,kyle,96.96
2016-12-04,nick,88.84
2016-12-04,pepe,77.24
2016-12-04,rown,73.66
2016-12-04,griz,99.56
2016-12-11,agus,56.1
2016-12-11,bill,94.26
2016-12-11,cart,107.74
2016-12-11,char,65.18
2016-12-11,coln,NA
2016-12-11,kier,104.74
2016-12-11,kyle,94.5
2016-12-11,nick,63.28
2016-12-11,pepe,73.92
2016-12-11,rown,116.54
2016-12-11,griz,78.1
2016-12-18,agus,65.96
2016-12-18,bill,98.06
2016-12-18,cart,79.68
2016-12-18,char,92.44
2016-12-18,coln,NA
2016-12-18,kier,120.58
2016-12-18,kyle,77.56
2016-12-18,nick,152.56
2016-12-18,pepe,110.4
2016-12-18,rown,85.02
2016-12-18,griz,74.98
2016-12-25,agus,108.9
2016-12-25,bill,91.56
2016-12-25,cart,72.02
2016-12-25,char,118.28
2016-12-25,coln,NA
2016-12-25,kier,137.92
2016-12-25,kyle,69.7
2016-12-25,nick,93.66
2016-12-25,pepe,80.92
2016-12-25,rown,81.46
2016-12-25,griz,81.52
2017-01-01,agus,73.32
2017-01-01,bill,116.82
2017-01-01,cart,136.96
2017-01-01,char,126.54
2017-01-01,coln,NA
2017-01-01,kier,75.84
2017-01-01,kyle,78.38
2017-01-01,nick,59.4
2017-01-01,pepe,95.08
2017-01-01,rown,91.04
2017-01-01,griz,88.74
2017-09-10,agus,58.72
2017-09-10,bill,71.54
2017-09-10,cart,92.84
2017-09-10,char,84.12
2017-09-10,coln,80.36
2017-09-10,kier,95.14
2017-09-10,kyle,95
2017-09-10,nick,110.84
2017-09-10,pepe,91.88
2017-09-10,rown,63.58
2017-09-10,griz,NA
2017-09-17,agus,81.72
2017-09-17,bill,88.32
2017-09-17,cart,62.96
2017-09-17,char,94.12
2017-09-17,coln,77.66
2017-09-17,kier,62.5
2017-09-17,kyle,83.08
2017-09-17,nick,104.78
2017-09-17,pepe,95.9
2017-09-17,rown,107.68
2017-09-17,griz,NA
2017-09-24,agus,91.92
2017-09-24,bill,84.72
2017-09-24,cart,97.9
2017-09-24,char,64.1
2017-09-24,coln,98.3
2017-09-24,kier,84.4
2017-09-24,kyle,74.56
2017-09-24,nick,83.76
2017-09-24,pepe,96.02
2017-09-24,rown,133.62
2017-09-24,griz,NA
2017-10-01,agus,120.2
2017-10-01,bill,100.66
2017-10-01,cart,80.02
2017-10-01,char,71.4
2017-10-01,coln,100.18
2017-10-01,kier,100.38
2017-10-01,kyle,96.16
2017-10-01,nick,79.08
2017-10-01,pepe,98.74
2017-10-01,rown,80.48
2017-10-01,griz,NA
2017-10-08,agus,87.12
2017-10-08,bill,98.84
2017-10-08,cart,80.66
2017-10-08,char,86.58
2017-10-08,coln,73.14
2017-10-08,kier,103.34
2017-10-08,kyle,89.46
2017-10-08,nick,107.84
2017-10-08,pepe,67.16
2017-10-08,rown,77.92
2017-10-08,griz,NA
2017-10-15,agus,68.82
2017-10-15,bill,65.92
2017-10-15,cart,78.94
2017-10-15,char,96.84
2017-10-15,coln,99.2
2017-10-15,kier,91.8
2017-10-15,kyle,111.08
2017-10-15,nick,106.82
2017-10-15,pepe,63.84
2017-10-15,rown,104.38
2017-10-15,griz,NA
2017-10-22,agus,76.76
2017-10-22,bill,87.86
2017-10-22,cart,126.64
2017-10-22,char,70.28
2017-10-22,coln,69.32
2017-10-22,kier,95.34
2017-10-22,kyle,88.2
2017-10-22,nick,119.86
2017-10-22,pepe,93.52
2017-10-22,rown,59.86
2017-10-22,griz,NA
2017-10-29,agus,112.08
2017-10-29,bill,112.48
2017-10-29,cart,100.36
2017-10-29,char,85.94
2017-10-29,coln,41.72
2017-10-29,kier,112.56
2017-10-29,kyle,99.02
2017-10-29,nick,66.92
2017-10-29,pepe,69.42
2017-10-29,rown,88.12
2017-10-29,griz,NA
2017-11-05,agus,90.78
2017-11-05,bill,92.12
2017-11-05,cart,107.12
2017-11-05,char,75.02
2017-11-05,coln,90.4
2017-11-05,kier,84.28
2017-11-05,kyle,90.24
2017-11-05,nick,80.66
2017-11-05,pepe,86.2
2017-11-05,rown,86.2
2017-11-05,griz,NA
2017-11-12,agus,88.22
2017-11-12,bill,61.38
2017-11-12,cart,74.96
2017-11-12,char,77.78
2017-11-12,coln,66.74
2017-11-12,kier,106.86
2017-11-12,kyle,89.26
2017-11-12,nick,126.64
2017-11-12,pepe,101.24
2017-11-12,rown,107.44
2017-11-12,griz,NA
2017-11-19,agus,108.42
2017-11-19,bill,110.7
2017-11-19,cart,110.6
2017-11-19,char,84.42
2017-11-19,coln,88.18
2017-11-19,kier,119.4
2017-11-19,kyle,50
2017-11-19,nick,112.1
2017-11-19,pepe,102.98
2017-11-19,rown,113.86
2017-11-19,griz,NA
2017-11-26,agus,91.72
2017-11-26,bill,118.14
2017-11-26,cart,84.24
2017-11-26,char,116.38
2017-11-26,coln,107.68
2017-11-26,kier,114.42
2017-11-26,kyle,66.3
2017-11-26,nick,91.98
2017-11-26,pepe,91.34
2017-11-26,rown,119.18
2017-11-26,griz,NA
2017-12-03,agus,81.98
2017-12-03,bill,77.22
2017-12-03,cart,109.16
2017-12-03,char,98.22
2017-12-03,coln,105.34
2017-12-03,kier,119.52
2017-12-03,kyle,105.1
2017-12-03,nick,114.18
2017-12-03,pepe,87.68
2017-12-03,rown,84.72
2017-12-03,griz,NA
2017-12-10,agus,107.04
2017-12-10,bill,80.66
2017-12-10,cart,115.56
2017-12-10,char,113.44
2017-12-10,coln,71.34
2017-12-10,kier,80.72
2017-12-10,kyle,83.14
2017-12-10,nick,76.14
2017-12-10,pepe,144.94
2017-12-10,rown,67.22
2017-12-10,griz,NA
2017-12-17,agus,68.1
2017-12-17,bill,92.5
2017-12-17,cart,64.42
2017-12-17,char,113.9
2017-12-17,coln,54.3
2017-12-17,kier,125.4
2017-12-17,kyle,105.3
2017-12-17,nick,105.82
2017-12-17,pepe,133.5
2017-12-17,rown,94.31
2017-12-17,griz,NA
2017-12-24,agus,102.9
2017-12-24,bill,80.1
2017-12-24,cart,102.82
2017-12-24,char,110.02
2017-12-24,coln,69.5
2017-12-24,kier,97.8
2017-12-24,kyle,59.8
2017-12-24,nick,93.22
2017-12-24,pepe,104
2017-12-24,rown,79.11
2017-12-24,griz,NA
2018-09-09,agus,63.5
2018-09-09,bill,185.44
2018-09-09,cart,104.86
2018-09-09,char,85.44
2018-09-09,coln,94.04
2018-09-09,kier,117.26
2018-09-09,kyle,84.94
2018-09-09,nick,77.32
2018-09-09,pepe,73.04
2018-09-09,rown,115.08
2018-09-09,griz,NA
2018-09-16,agus,82.64
2018-09-16,bill,128.4
2018-09-16,cart,94.9
2018-09-16,char,84.78
2018-09-16,coln,63.64
2018-09-16,kier,71.52
2018-09-16,kyle,134.75
2018-09-16,nick,143.56
2018-09-16,pepe,93.08
2018-09-16,rown,93.06
2018-09-16,griz,NA
2018-09-23,agus,102.72
2018-09-23,bill,118.66
2018-09-23,cart,81.14
2018-09-23,char,77.6
2018-09-23,coln,93.5
2018-09-23,kier,105.34
2018-09-23,kyle,88.74
2018-09-23,nick,107.36
2018-09-23,pepe,91.2
