abbrev,year,week,player,first,last,pos,team,owned,start,slot,proj,score
KIER,2019,2,0015847,Travis,Kelce,TE,12,0.999049237074255,0.9975000868276644,TE,13.886816398,16.700000000000003
KIER,2019,2,0016029,Panthers,D/ST,D,29,0.37041761232017917,0.3195685767401491,DF,7.057599991500002,5.5
KIER,2019,2,3050478,Jake,Elliott,K,21,0.5640739349545378,0.49619396007477035,K,8.403043547000001,7
KIER,2019,2,2977187,Cooper,Kupp,WR,14,0.9643255843903088,0.6467076699125358,BE,8.4790230629,12.6
KIER,2019,2,0014924,T.Y.,Hilton,WR,11,0.9861097545005104,0.7886957798919196,BE,8.857345080000002,10.3
KIER,2019,2,3045144,Tyler,Boyd,WR,4,0.9389213342671429,0.506196858232669,BE,7.8723668668,12.200000000000001
KIER,2019,2,0013983,A.J.,Green,WR,4,0.881954377503764,0.028544266294497994,BE,0,0
KIER,2019,2,2979477,Tevin,Coleman,RB,25,0.7392238603822673,0.037493108682409015,BE,0,0
KIER,2019,2,0016016,Vikings,D/ST,D,16,0.8920492210957179,0.7052528334946055,BE,3.862941463,3.5
KIER,2019,2,0010452,Adrian,Peterson,RB,28,0.6680077731603135,0.21646920254204916,BE,9.247500261,9.2
